d_date_only,t_start,t_end,t_title,t_description_x,t_link_x,t_image,t_crew_x,t_song_list,v_jamdate,v_rating,v_namedate,v_author,v_description_y,v_location,v_summary,v_link_y,v_pubDate,v_category,v_explicit,v_duration,v_keywords,v_enclosure_url,v_enclosure_length,v_enclosure_type,v_crew_y,v_jam summary,v_song_list,d_proper_date,d_date,f_singles,l_loops,d_crew_merged,v_song_list_cleanedup,d_merged_song_lists
Feb 28 1998,Feb 28 1998 18:00:00 EST,Feb 28 1998 21:00:00 EST,Feb 28,,,images/jam/blank.jpg,"Creed, Maximus, Haze, Snuffler","Lithium Trip, Segue",,,,,,,,,,,,,,,,,,,,Feb 28 1998,1998-02-28,"19980228_1.mp3, 19980228_2.mp3",,"Creed, Haze, Maximus, Snuffler",,"Lithium Trip, Segue"
May 12 1998,May 12 1998 18:00:00 EST,May 12 1998 21:00:00 EST,May 12,,,images/jam/blank.jpg,"Sweet P, T-Bone, Snuffler, SRC, Maximus, Stu, Zig, Mike","She's Got the Itch, Fiona Blues I, Fiona Blues II, Miss Your Face, Indulge Us",,,,,,,,,,,,,,,,,,,,May 12 1998,1998-05-12,19980512_1.mp3,Groove of Love,"Maximus, Mike, SRC, Snuffler, Stu, SweetP, TBonk, Zig",,"She's Got the Itch, Fiona Blues I, Fiona Blues II, Miss Your Face, Indulge Us"
May 14 1998,May 14 1998 18:00:00 EST,May 14 1998 21:00:00 EST,May 14,,,images/jam/blank.jpg,"Sweet P, T-Bone, Snuffler, SRC, Maximus, The Giant Peach, Zig","Prologue, This Reality, Avenue J",,,,,,,,,,,,,,,,,,,,May 14 1998,1998-05-14,,This Reality,"Giant Peach, Maximus, SRC, Snuffler, SweetP, TBonk, Zig",,"Prologue, This Reality, Avenue J"
Jul 01 1998,Jul 1 1998 18:00:00 EST,Jul 1 1998 21:00:00 EST,Jul 1,,,images/jam/blank.jpg,"T-Bone, Maximus, Stu, Snuffler",Positive Camber,,,,,,,,,,,,,,,,,,,,Jul 01 1998,1998-07-01,19980701_1.mp3,,"Maximus, Snuffler, Stu, TBonk",,Positive Camber
Jul 08 1998,Jul 8 1998 18:00:00 EST,Jul 8 1998 21:00:00 EST,Jul 8,,,images/jam/blank.jpg,"T-Bone, Maximus, Stu, Snuffler","Outro, A Bit of the Roger in Me, Intrigue",,,,,,,,,,,,,,,,,,,,Jul 08 1998,1998-07-08,"19980708_1.mp3, 19980708_2.mp3, 19980708_3.mp3",,"Maximus, Snuffler, Stu, TBonk",,"Outro, A Bit of the Roger in Me, Intrigue"
Sep 10 1998,Sep 10 1998 18:00:00 EST,Sep 10 1998 21:00:00 EST,Sep 10,,,images/jam/blank.jpg,"Tedmos, T-Bone, Maximus, Snuffler","Bad Karma, I, Bad Karma, II, Balance Beam, I, Balance Beam, II, Balance Beam, II",,,,,,,,,,,,,,,,,,,,Sep 10 1998,1998-09-10,"19980910_1.mp3, 19980910_2.mp3, 19980910_3.mp3, 19980910_4.mp3, 19980910_5.mp3","Superfly, Marat","Maximus, Snuffler, TBonk, Tedmos",,"Bad Karma, I, Bad Karma, II, Balance Beam, I, Balance Beam, II, Balance Beam, II"
Sep 17 1998,Sep 17 1998 18:00:00 EST,Sep 17 1998 21:00:00 EST,Sep 17,,,images/jam/blank.jpg,"Elyse, EvilG, Maximus, Sweet P, Stu, Snuffler, T-Bone",One Unhappy Norse God,,,,,,,,,,,,,,,,,,,,Sep 17 1998,1998-09-17,19980917_1.mp3,,"Elyse, EvilG, Maximus, Snuffler, Stu, SweetP, TBonk",,One Unhappy Norse God
Sep 30 1998,Sep 30 1998 18:00:00 EST,Sep 30 1998 21:00:00 EST,Sep 30,,,images/jam/blank.jpg,"Tedmos, Stu, Maximus, Snuffler","My Woman Feeling, Kickin In', Back and There Again, Is it Maximus or is it T-Bone?",,,,,,,,,,,,,,,,,,,,Sep 30 1998,1998-09-30,"19980930_1.mp3, 19980930_2.mp3, 19980930_3.mp3, 19980930_4.mp3","Seattle, Needle","Maximus, Snuffler, Stu, Tedmos",,"My Woman Feeling, Kickin In', Back and There Again, Is it Maximus or is it T-Bone?"
Nov 19 1998,Nov 19 1998 18:00:00 EST,Nov 19 1998 21:00:00 EST,Nov 19,,,images/jam/blank.jpg,"Ankhboy, Tedmos, Maximus, Snuffler","Glad You Could Join Us, Hot For Jimi, Everything was Going Just Fine.., Travail",,,,,,,,,,,,,,,,,,,,Nov 19 1998,1998-11-19,"19981119_1.mp3, 19981119_2.mp3, 19981119_3.mp3, 19981119_4.mp3, 19981119_5.mp3","The Happy Bug, The Platform, On a Sunday Afternoon, On and On Bonzo, True Funk","Ankhboy, Maximus, Snuffler, Tedmos",,"Glad You Could Join Us, Hot For Jimi, Everything was Going Just Fine.., Travail"
Dec 17 1998,Dec 17 1998 18:00:00 EST,Dec 17 1998 21:00:00 EST,Dec 17,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone","Black Beauty Boots, No Collagen",,,,,,,,,,,,,,,,,,,,Dec 17 1998,1998-12-17,"19981217_1.mp3, 19981217_2.mp3","Swoop, The Max, Those Boots!, Fame Redux, FreeFall Funk","Maximus, Snuffler, TBonk",,"Black Beauty Boots, No Collagen"
Jan 07 1999,Jan 7 1999 18:00:00 EST,Jan 7 1999 21:00:00 EST,Jan 7,,,images/jam/blank.jpg,"Maximus, Snuffler, Tedmos, T-Bone","Rise and Fall, Counting Sheep",,,,,,,,,,,,,,,,,,,,Jan 07 1999,1999-01-07,,Ole Silver,"Maximus, Snuffler, TBonk, Tedmos",,"Rise and Fall, Counting Sheep"
Jan 14 1999,Jan 14 1999 18:00:00 EST,Jan 14 1999 21:00:00 EST,Jan 14,,,images/jam/blank.jpg,"Maximus, Snuffler, PeeTah, T-Bone","extra bit, extra bit, This is the End, Varigated Stream of Consciousness",,,,,,,,,,,,,,,,,,,,Jan 14 1999,1999-01-14,"19990114_1.mp3, 19990114_2.mp3, 19990114_3.mp3, 19990114_4.mp3",T-Bones Big Surprise,"Maximus, PeeTah, Snuffler, TBonk",,"extra bit, extra bit, This is the End, Varigated Stream of Consciousness"
Jan 21 1999,Jan 21 1999 18:00:00 EST,Jan 21 1999 21:00:00 EST,Jan 21,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone, Tedmos",Gator Bait,,,,,,,,,,,,,,,,,,,,Jan 21 1999,1999-01-21,,"She Fell In, Nobody Owns Her, Shuffle, Cry for Less, Some Kinda Light","Maximus, Snuffler, TBonk, Tedmos",,Gator Bait
Jan 31 1999,Jan 31 1999 18:00:00 EST,Jan 31 1999 21:00:00 EST,Jan 31,,,images/jam/blank.jpg,"Maximus, Snuffler, Elyse, T-Bone, Sweet P","Shadow Walks Before, Into the Sun",,,,,,,,,,,,,,,,,,,,Jan 31 1999,1999-01-31,"19990131_1.mp3, 19990131_2.mp3","Into the Sun, Outrigger, Steps, Enigma, Herky","Elyse, Maximus, Snuffler, SweetP, TBonk",,"Shadow Walks Before, Into the Sun"
Feb 11 1999,Feb 11 1999 18:00:00 EST,Feb 11 1999 21:00:00 EST,Feb 11,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone, Ankhboy, Tedmos, Peetah","Bumpkin, Byte 2, Byte 1",,,,,,,,,,,,,,,,,,,,Feb 11 1999,1999-02-11,,"Ankhs Dream State, TBD 1, TBD 3, Pecker","Ankhboy, Bavo, Maximus, Snuffler, TBonk, Tedmos",,"Bumpkin, Byte 2, Byte 1"
Feb 18 1999,Feb 18 1999 18:00:00 EST,Feb 18 1999 21:00:00 EST,Feb 18,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone","Cocktails in Pamplona, Places, Cabby",,,,,,,,,,,,,,,,,,,,Feb 18 1999,1999-02-18,,"Proud Maxy, Havana, Ripleys Introduction to Piglund, Coming, Cabby","Maximus, Snuffler, TBonk",,"Cocktails in Pamplona, Places, Cabby"
Feb 24 1999,Feb 24 1999 18:00:00 EST,Feb 24 1999 21:00:00 EST,Feb 24,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone, EvilG","extra bit, Til Dust Do Us Part, Bedtime Story, Take That Back",,,,,,,,,,,,,,,,,,,,Feb 24 1999,1999-02-24,,Home,"EvilG, Maximus, Snuffler, TBonk",,"extra bit, Til Dust Do Us Part, Bedtime Story, Take That Back"
Mar 04 1999,Mar 4 1999 18:00:00 EST,Mar 4 1999 21:00:00 EST,Mar 4,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone, Stu, Haze",Monkey Style,,,,,,,,,,,,,,,,,,,,Mar 04 1999,1999-03-04,,"Theyre Coming In!, Motive, Questions","Haze, Maximus, Snuffler, Stu, TBonk",,Monkey Style
Mar 18 1999,Mar 18 1999 18:00:00 EST,Mar 18 1999 21:00:00 EST,Mar 18,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone, EvilG, BLove, DT, Sweet, SRC","All the Songs, Take My Pill, Gravity Makes Me Wanna Drink, Flies, I Feel Whole",,,,,,,,,,,,,,,,,,,,Mar 18 1999,1999-03-18,,"Kindling, Underworld, Stroke 1, Stroke 2, Take My Pill, Glide, Goin Down, Slink","BLove, DT, EvilG, Maximus, SRC, Snuffler, SweetP, TBonk",,"All the Songs, Take My Pill, Gravity Makes Me Wanna Drink, Flies, I Feel Whole"
Apr 08 1999,Apr 8 1999 18:00:00 EST,Apr 8 1999 21:00:00 EST,Apr 8,,,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone, Tedmos","Jade, My Love",,,,,,,,,,,,,,,,,,,,Apr 08 1999,1999-04-08,"19990408_1.mp3, 19990408_2.mp3","Age of Numbers, Pimp Walk, Contemplative State","Maximus, Snuffler, TBonk, Tedmos",,"Jade, My Love"
May 06 1999,May 6 1999 18:00:00 EST,May 6 1999 21:00:00 EST,May 6,,,images/jam/blank.jpg,"Maximus, Peetah, Snuffler, T-Bone, Tedmos",Mad Jam - Uprising,,,,,,,,,,,,,,,,,,,,May 06 1999,1999-05-06,19990506_1.mp3,"Funk Racer, Hang in the Balance, Whos Your Daddy?, Chemical Morning, Fair Sky","Bavo, Maximus, Snuffler, TBonk, Tedmos",,Mad Jam - Uprising
Jun 10 1999,Jun 10 1999 18:00:00 EST,Jun 10 1999 21:00:00 EST,Jun 10,,/songs/19990610.mp3,/images/jam/blank.jpg,"Ankh, Bavo, Max, Snuffler",,,,,,,,,,,,,,,,,,,,,Jun 10 1999,1999-06-10,,"Crime Scene, Too Bad","Ankhboy, Bavo, Maximus, Snuffler",,
Jun 29 1999,Jun 29 1999 18:00:00 EST,Jun 29 1999 21:00:00 EST,Jun 29,,/songs/19990629.mp3,/images/jam/blank.jpg,"Bavo, Max, Snuffler, Tbone",,,,,,,,,,,,,,,,,,,,,Jun 29 1999,1999-06-29,,,"Bavo, Maximus, Snuffler, TBonk",,
Aug 26 1999,Aug 26 1999 18:00:00 EST,Aug 26 1999 21:00:00 EST,Aug 26,,/songs/19990826.mp3,/images/jam/blank.jpg,"Ankh, Max, Snuffler",,,,,,,,,,,,,,,,,,,,,Aug 26 1999,1999-08-26,,,"Ankhboy, Maximus, Snuffler",,
Nov 06 1999,Nov 6 1999 18:00:00 EST,Nov 6 1999 21:00:00 EST,Nov 6,,,images/jam/blank.jpg,"Maximus, Snuffler, Stu","Odiferous, That Ole' Virus Mankind",,,,,,,,,,,,,,,,,,,,Nov 06 1999,1999-11-06,"19991106_1.mp3, 19991106_2.mp3","Fade to Black, Down the Drain, In Your Mind, Hunted, Pagentry of Roll","Maximus, Snuffler, Stu",,"Odiferous, That Ole' Virus Mankind"
Nov 21 1999,Nov 21 1999 18:00:00 EST,Nov 21 1999 21:00:00 EST,Nov 21,,/songs/19991121.mp3,/images/jam/blank.jpg,"Bavo, Max, Snuffler, SRC, Stu, Tedmos, Tbone",,,,,,,,,,,,,,,,,,,,,Nov 21 1999,1999-11-21,,,"Bavo, Maximus, SRC, Snuffler, Stu, TBonk, Tedmos",,
Feb 24 2000,Feb 24 2000 18:00:00 EST,Feb 24 2000 21:00:00 EST,Feb 24,,,images/jam/blank.jpg,"Snuffler, SRC, Stu, Sweet, T-Bone","Love I Feel, Jenny Lopez's Dress",,,,,,,,,,,,,,,,,,,,Feb 24 2000,2000-02-24,,,"SRC, Snuffler, Stu, SweetP, TBonk",,"Love I Feel, Jenny Lopez's Dress"
Mar 03 2000,Mar 3 2000 18:00:00 EST,Mar 3 2000 21:00:00 EST,Mar 3,,,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone, Tedmos","Willy the Weeper, In You, Amidou",,,,,,,,,,,,,,,,,,,,Mar 03 2000,2000-03-03,,,"Maximus, SRC, Snuffler, SweetP, TBonk, Tedmos",,"Willy the Weeper, In You, Amidou"
Mar 16 2000,Mar 16 2000 18:00:00 EST,Mar 16 2000 21:00:00 EST,Mar 16,,/songs/20000316.mp3,/images/jam/blank.jpg,"Bavo, Max, Snuffler, SRC, Tbone",,,,,,,,,,,,,,,,,,,,,Mar 16 2000,2000-03-16,,,"Bavo, Maximus, SRC, Snuffler, TBonk",,
Jun 14 2000,Jun 14 2000 18:00:00 EST,Jun 14 2000 21:00:00 EST,Jun 14,,/songs/20000614.mp3,/images/jam/blank.jpg,"Max, Snuffler, Stu",,,,,,,,,,,,,,,,,,,,,Jun 14 2000,2000-06-14,,Jungle Gym,"Maximus, Snuffler, Stu",,
Jun 22 2000,Jun 22 2000 18:00:00 EST,Jun 22 2000 21:00:00 EST,Jun 22,,/songs/20000622.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu, T-Bone","Max and Tbone lead the way, Hangin' with Me, Heavy, that Load, Boiler Room Groove",,,,,,,,,,,,,,,,,,,,Jun 22 2000,2000-06-22,"20000622_2.mp3, 20000622_4.mp3",,"Maximus, SRC, Snuffler, Stu, TBonk",,"Max and Tbone lead the way, Hangin' with Me, Heavy, that Load, Boiler Room Groove"
Jul 14 2000,Jul 14 2000 18:00:00 EST,Jul 14 2000 21:00:00 EST,Jul 14,,/songs/20000714.mp3,images/jam/blank.jpg,"Ankhboy, Maximus, Snuffler, SRC, Stu","Grind, Sweet Petootie Pie, Brothers, Dweezil's Dad, Motherland, Mother's Milk, You're Dead, Baby (Jon Benet), SRC Loco 613",,,,,,,,,,,,,,,,,,,,Jul 14 2000,2000-07-14,"20000714_1.mp3, 20000714_2.mp3, 20000714_8.mp3",,"Ankhboy, Maximus, SRC, Snuffler, Stu",,"Grind, Sweet Petootie Pie, Brothers, Dweezil's Dad, Motherland, Mother's Milk, You're Dead, Baby (Jon Benet), SRC Loco 613"
Aug 03 2000,Aug 3 2000 18:00:00 EST,Aug 3 2000 21:00:00 EST,Aug 3,,/songs/20000803.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu","God Within, Bright as the Sun, Sleepy Eyes (SRC's Lead), Take a Sniff",,,,,,,,,,,,,,,,,,,,Aug 03 2000,2000-08-03,"20000803_3.mp3, 20000803_4.mp3",,"Maximus, SRC, Snuffler, Stu",,"God Within, Bright as the Sun, Sleepy Eyes (SRC's Lead), Take a Sniff"
Aug 16 2000,Aug 16 2000 18:00:00 EST,Aug 16 2000 21:00:00 EST,Aug 16,,/songs/20000816.mp3,images/jam/blank.jpg,"Ankhboy, Maximus, The Giant Peach, Snuffler, SRC, Stu, Sweet, T-Bone",Post Jam Interview,,,,,,,,,,,,,,,,,,,,Aug 16 2000,2000-08-16,20000816_1.mp3,,"Ankhboy, Giant Peach, Maximus, SRC, Snuffler, Stu, SweetP, TBonk",,Post Jam Interview
Aug 31 2000,Aug 31 2000 18:00:00 EST,Aug 31 2000 21:00:00 EST,Aug 31,,/songs/20000831.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu","Desperate, Tractor Pull, Brain, So Far Giant, Mutha Down, Horror Show",,,,,,,,,,,,,,,,,,,,Aug 31 2000,2000-08-31,"20000831_1.mp3, 20000831_2.mp3",,"Maximus, SRC, Snuffler, Stu",,"Desperate, Tractor Pull, Brain, So Far Giant, Mutha Down, Horror Show"
Oct 05 2000,Oct 5 2000 18:00:00 EST,Oct 5 2000 21:00:00 EST,Oct 5,,/songs/20001005.mp3,images/jam/blank.jpg,"Maximus, Snuffler, T-Bone",Hide the Body,,,,,,,,,,,,,,,,,,,,Oct 05 2000,2000-10-05,20001005_1.mp3,Bleed You,"Maximus, Snuffler, TBonk",,Hide the Body
Oct 19 2000,Oct 19 2000 18:00:00 EST,Oct 19 2000 21:00:00 EST,Oct 19,,/songs/20001019.mp3,/images/jam/blank.jpg,"Ankh, Max, Snuffler, SRC, Tedmos",,,,,,,,,,,,,,,,,,,,,Oct 19 2000,2000-10-19,,,"Ankhboy, Maximus, SRC, Snuffler, Tedmos",,
Nov 30 2000,Nov 30 2000 18:00:00 EST,Nov 30 2000 21:00:00 EST,Nov 30,,/songs/20001130.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone","White of My Belly, Thy Name is Woman, Egda, Lil' House Blues, Blood Line",,,,,,,,,,,,,,,,,,,,Nov 30 2000,2000-11-30,"20001130_1.mp3, 20001130_2.mp3, 20001130_3.mp3, 20001130_5.mp3",,"Maximus, SRC, Snuffler, SweetP, TBonk",,"White of My Belly, Thy Name is Woman, Egda, Lil' House Blues, Blood Line"
Dec 28 2000,Dec 28 2000 18:00:00 EST,Dec 28 2000 21:00:00 EST,Dec 28,,/songs/20001228.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu","The Real Slim Shady, Diggin' It Out, political musings outtake, School Yard Blues",,,,,,,,,,,,,,,,,,,,Dec 28 2000,2000-12-28,20001228_1.mp3,"Shades of Slim, Dont Touch That Sound, Dream Beat, Simple Truth, Home","Maximus, SRC, Snuffler, Stu",,"The Real Slim Shady, Diggin' It Out, political musings outtake, School Yard Blues"
Jan 11 2001,Jan 11 2001 18:00:00 EST,Jan 11 2001 21:00:00 EST,Jan 11,,/songs/20010111.mp3,images/jam/blank.jpg,"Maximus, EnglishNick, Snuffler, SRC, Stu, Sweet, T-Bone","Modern Jazz, Interlewd, You're Not There (Max on drums), Say What, Bonus? (EnglishNick on drums), So Sweet",,,,,,,,,,,,,,,,,,,,Jan 11 2001,2001-01-11,"20010111_1.mp3, 20010111_2.mp3, 20010111_3.mp3, 20010111_4.mp3, 20010111_5.mp3",,"EnglishNick, Maximus, SRC, Snuffler, Stu, SweetP, TBonk",,"Modern Jazz, Interlewd, You're Not There (Max on drums), Say What, Bonus? (EnglishNick on drums), So Sweet"
Jan 28 2001,Jan 28 2001 18:00:00 EST,Jan 28 2001 21:00:00 EST,Jan 28,,/songs/20010128.mp3,images/jam/blank.jpg,"Elyse, Maximus, Snuffler, SRC, Sweet, T-Bone","Blood One Worm, Out Behind the Wheel, the ends",,,,,,,,,,,,,,,,,,,,Jan 28 2001,2001-01-28,"20010128_1.mp3, 20010128_2.mp3, 20010128_3.mp3",,"Elyse, Maximus, SRC, Snuffler, SweetP, TBonk",,"Blood One Worm, Out Behind the Wheel, the ends"
Feb 21 2001,Feb 21 2001 18:00:00 EST,Feb 21 2001 21:00:00 EST,Feb 21,,/songs/20010221.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu, T-Bone",Ocean Groove,,,,,,,,,,,,,,,,,,,,Feb 21 2001,2001-02-21,20010221_1.mp3,,"Maximus, SRC, Snuffler, Stu, TBonk",,Ocean Groove
Mar 14 2001,Mar 14 2001 18:00:00 EST,Mar 14 2001 21:00:00 EST,Mar 14,,/songs/20010314.mp3,images/jam/blank.jpg,"Ankhboy, Maximus, Snuffler, SRC, T-Bone","Price of Freedom, Doc Says """"Cough"""", Get Yourself Straight, Street Dumb Sam, Gone",,,,,,,,,,,,,,,,,,,,Mar 14 2001,2001-03-14,"20010314_1.mp3, 20010314_2.mp3, 20010314_3.mp3, 20010314_4.mp3, 20010314_5.mp3",Deep Thoughts of a Dandelion,"Ankhboy, Maximus, SRC, Snuffler, TBonk",,"Price of Freedom, Doc Says """"Cough"""", Get Yourself Straight, Street Dumb Sam, Gone"
May 02 2001,May 2 2001 18:00:00 EST,May 2 2001 21:00:00 EST,May 2,,/songs/20010502.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, Trebor","Liberty Rust, No Balls",,,,,,,,,,,,,,,,,,,,May 02 2001,2001-05-02,"20010502_1.mp3, 20010502_2.mp3",,"Maximus, SRC, Snuffler, SweetP, Trebor",,"Liberty Rust, No Balls"
May 16 2001,May 16 2001 18:00:00 EST,May 16 2001 21:00:00 EST,May 16,,/songs/20010516.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone, Tedmos, Trebor",Evil on Ya Baby,,,,,,,,,,,,,,,,,,,,May 16 2001,2001-05-16,20010516_1.mp3,,"Maximus, SRC, Snuffler, SweetP, TBonk, Tedmos, Trebor",,Evil on Ya Baby
Jun 02 2001,Jun 2 2001 18:00:00 EST,Jun 2 2001 21:00:00 EST,Jun 2,,/songs/20010602.mp3,images/jam/blank.jpg,"Ironlung, Maximus, Snuf",Stepping Out,,,,,,,,,,,,,,,,,,,,Jun 02 2001,2001-06-02,20010602_1.mp3,,"Ironlung, Maximus, Snuffler",,Stepping Out
Jun 05 2001,Jun 5 2001 18:00:00 EST,Jun 5 2001 21:00:00 EST,Jun 5,,/songs/20010605.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone, Trebor","Version 2.0, Takin' a Bad Turn, Exploring, It's Dead, Alright",,,,,,,,,,,,,,,,,,,,Jun 05 2001,2001-06-05,"20010605_1.mp3, 20010605_2.mp3, 20010605_3.mp3, 20010605_4.mp3",,"Maximus, SRC, Snuffler, SweetP, TBonk, Trebor",,"Version 2.0, Takin' a Bad Turn, Exploring, It's Dead, Alright"
Jun 20 2001,Jun 20 2001 18:00:00 EST,Jun 20 2001 21:00:00 EST,Jun 20,,/songs/20010620.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, Tedmos, T-Bone, Trebor",Constant Ending,,,,,,,,,,,,,,,,,,,,Jun 20 2001,2001-06-20,20010620_1.mp3,,"Maximus, SRC, Snuffler, SweetP, TBonk, Tedmos, Trebor",,Constant Ending
Aug 01 2001,Aug 1 2001 18:00:00 EST,Aug 1 2001 21:00:00 EST,Aug 1,,/songs/20010801.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, Trebor","All I Have, Apparition",,,,,,,,,,,,,,,,,,,,Aug 01 2001,2001-08-01,"20010801_1.mp3, 20010801_2.mp3",,"Maximus, SRC, Snuffler, SweetP, Trebor",,"All I Have, Apparition"
